Test,Reference
683,641
639,657
639,708
402,641
402,683
551,948
551,559
974,802
974,554
974,804
974,914
974,900
974,492
974,842
974,1047
974,920
974,502
974,62
974,832
974,560
1358,1362
1358,971
1358,958
1358,280
1358,327
1358,982
1358,606
1358,983
1358,1394
1358,1395
1358,1222
1358,978
1358,1397
425,419
425,395
425,418
425,626
425,432
425,396
425,757
425,308
425,323
425,1077
425,18
425,314
425,302
425,1043
425,729
425,364
425,429
425,400
425,1221
419,637
419,1110
419,400
395,425
395,626
395,432
395,396
395,221
395,959
395,839
395,757
395,888
395,863
395,308
395,1110
395,323
395,1077
395,332
395,1117
395,314
395,302
395,1043
395,1096
395,1109
395,729
395,1150
395,364
395,429
395,400
395,1221
395,212
418,425
418,419
418,395
418,626
418,432
418,396
418,757
418,308
418,323
418,1077
418,18
418,314
418,302
418,1043
418,729
418,364
418,429
418,400
418,372
418,1221
356,1359
356,340
356,355
356,520
356,33
356,271
356,599
356,827
356,429
1359,555
1359,981
1359,599
1359,827
626,425
626,395
626,432
626,396
626,802
626,221
626,218
626,839
626,637
626,757
626,227
626,1065
626,888
626,23
626,863
626,308
626,1110
626,36
626,323
626,246
626,1077
626,468
626,332
626,1117
626,483
626,18
626,536
626,466
626,314
626,710
626,1047
626,302
626,677
626,1043
626,500
626,1096
626,1109
626,729
626,957
626,364
626,832
626,207
626,429
626,400
626,1221
626,212
578,786
578,555
578,942
550,43
550,802
550,557
550,637
550,964
550,569
550,23
550,863
550,36
550,468
550,483
550,466
550,710
550,1047
550,500
550,48
550,1018
550,957
550,832
550,575
1367,555
1367,120
1367,983
43,802
43,23
43,36
43,468
43,483
43,466
43,710
43,1047
43,100
43,931
43,500
43,808
43,48
43,832
43,945
340,356
340,1359
340,355
340,23
340,1104
340,736
340,33
340,271
340,981
340,599
340,827
340,429
432,425
432,419
432,395
432,418
432,626
432,396
432,218
432,757
432,227
432,308
432,323
432,246
432,1077
432,1117
432,18
432,536
432,314
432,302
432,677
432,1043
432,1109
432,729
432,957
432,364
432,832
432,207
432,429
432,400
432,1221
396,425
396,395
396,626
396,432
396,221
396,218
396,839
396,757
396,227
396,863
396,308
396,1110
396,323
396,246
396,1077
396,18
396,536
396,314
396,302
396,1043
396,729
396,1150
396,364
396,207
396,429
396,400
396,1221
396,212
355,356
355,1359
355,340
355,23
355,1104
355,736
355,33
355,271
355,981
355,599
355,827
355,429
4,15
802,43
802,23
802,36
802,468
802,483
802,513
802,466
802,1047
802,500
802,48
802,832
1372,626
1372,221
1372,1377
1372,959
1372,637
1372,964
1372,757
1372,1065
1372,23
1372,1110
1372,323
1372,468
1372,332
1372,1117
1372,483
1372,466
1372,710
1372,100
1372,931
1372,1043
1372,1096
1372,1055
1372,1109
1372,729
1372,945
1372,212
786,53
786,61
786,942
584,356
584,1359
584,340
584,355
584,555
584,23
584,1104
584,520
584,736
584,1115
584,33
584,271
584,567
584,981
584,599
584,947
584,827
584,429
221,395
221,626
221,839
221,757
221,863
221,1110
221,323
221,1117
221,677
221,1043
221,1096
221,1109
221,729
221,364
221,1397
221,212
557,550
557,43
557,802
557,637
557,964
557,569
557,23
557,863
557,36
557,468
557,483
557,466
557,710
557,1047
557,500
557,48
557,1018
557,957
557,832
557,575
91,948
91,1362
91,958
91,280
91,284
91,513
91,1078
91,467
91,174
91,605
91,1394
91,99
91,1395
91,1222
91,1397
812,509
1362,971
1362,958
1362,284
1362,982
1362,983
1362,1395
1362,978
1362,1397
1363,395
1363,626
1363,1372
1363,221
1363,1377
1363,959
1363,839
1363,637
1363,964
1363,757
1363,1065
1363,888
1363,863
1363,1110
1363,323
1363,468
1363,332
1363,1117
1363,483
1363,127
1363,466
1363,710
1363,100
1363,931
1363,1043
1363,1096
1363,1055
1363,1109
1363,729
1363,1018
1363,572
1363,364
1363,945
1363,212
1377,395
1377,626
1377,43
1377,802
1377,1372
1377,221
1377,1363
1377,218
1377,959
1377,839
1377,637
1377,964
1377,757
1377,227
1377,1065
1377,888
1377,23
1377,863
1377,1110
1377,36
1377,323
1377,246
1377,468
1377,332
1377,1117
1377,483
1377,127
1377,536
1377,466
1377,710
1377,1047
1377,100
1377,931
1377,1043
1377,500
1377,1096
1377,1055
1377,1109
1377,729
1377,808
1377,48
1377,1018
1377,572
1377,364
1377,832
1377,207
1377,945
1377,212
53,61
218,626
218,432
218,396
218,802
218,757
218,227
218,1065
218,23
218,1110
218,36
218,323
218,246
218,468
218,1117
218,483
218,18
218,536
218,466
218,710
218,1047
218,677
218,1043
218,500
218,1096
218,1109
218,729
218,808
218,957
218,364
218,832
218,207
218,429
218,1221
218,945
554,974
554,802
554,53
554,804
554,914
554,900
554,492
554,842
554,1047
554,920
554,502
554,61
554,995
554,62
554,837
554,832
554,560
971,982
959,1110
839,959
839,757
839,888
839,863
839,1110
839,323
839,1043
839,729
804,53
804,496
804,502
804,61
804,62
637,419
637,1110
637,710
637,400
958,1397
964,395
964,626
964,550
964,1372
964,221
964,557
964,959
964,839
964,637
964,757
964,569
964,888
964,23
964,863
964,1110
964,323
964,871
964,468
964,332
964,1117
964,483
964,18
964,127
964,466
964,710
964,100
964,931
964,1043
964,1055
964,1109
964,729
964,1018
964,957
964,572
964,364
964,575
964,372
964,945
964,212
757,395
757,626
757,432
757,396
757,221
757,218
757,839
757,227
757,888
757,23
757,863
757,308
757,1110
757,323
757,246
757,468
757,1117
757,483
757,18
757,536
757,466
757,314
757,1043
757,500
757,1096
757,1109
757,729
757,364
757,832
757,207
757,429
757,1221
757,212
555,1359
555,983
555,981
555,599
555,827
227,626
227,432
227,396
227,802
227,218
227,757
227,1065
227,23
227,1110
227,36
227,323
227,246
227,468
227,1117
227,483
227,18
227,536
227,466
227,710
227,1047
227,677
227,1043
227,500
227,1096
227,1109
227,729
227,808
227,957
227,364
227,832
227,207
227,429
227,1221
227,945
569,550
569,43
569,802
569,557
569,637
569,964
569,23
569,863
569,36
569,468
569,483
569,466
569,710
569,1047
569,500
569,48
569,1018
569,957
569,832
569,575
1065,626
1065,218
1065,839
1065,757
1065,227
1065,888
1065,863
1065,323
1065,1117
1065,536
1065,677
1065,1043
1065,1096
1065,1109
1065,729
1065,364
1065,207
888,626
888,959
888,839
888,637
888,757
888,863
888,1110
888,323
888,468
888,1117
888,483
888,466
888,1043
888,1109
888,729
877,53
877,486
877,495
877,61
877,63
877,604
863,959
863,839
863,888
308,425
308,419
308,395
308,418
308,626
308,432
308,396
308,221
308,839
308,757
308,555
308,1065
308,888
308,23
308,863
308,1110
308,323
308,1077
308,468
308,1117
308,483
308,18
308,466
308,314
308,302
308,677
308,1043
308,1096
308,1109
308,729
308,957
308,364
308,429
308,400
308,372
308,1221
308,212
1138,18
1138,100
1138,1136
1138,945
1110,637
1104,356
1104,1359
1104,340
1104,355
1104,584
1104,555
1104,23
1104,520
1104,736
1104,1115
1104,33
1104,271
1104,567
1104,981
1104,599
1104,947
1104,827
1104,429
36,43
36,802
36,23
36,468
36,483
36,466
36,710
36,1047
36,100
36,931
36,500
36,48
36,945
519,515
519,942
280,948
280,1358
280,91
280,1362
280,958
280,327
280,284
280,513
280,1078
280,174
280,1394
280,99
280,1395
280,1222
280,1397
914,974
914,802
914,554
914,804
914,900
914,492
914,842
914,1047
914,920
914,502
914,995
914,62
914,837
914,832
914,560
900,974
900,802
900,554
900,804
900,914
900,492
